classID,class,leadShip
1,Nagato,Nagato
2,Ise,Ise
3,Kagerou,Kagerou
4,Akagi,Akagi
5,Kaga,Kaga
6,Souryuu,Souryuu
7,Hiryuu,Hiryuu
8,Shimakaze,Shimakaze
9,Fubuki,Fubuki
10,Ayanami,Ayanami
11,Kuma,Kuma
12,Kongou,Kongou
13,Houshou,Houshou
14,Fusou,Fusou
15,Tenryuu,Tenryuu
16,Ryuujou,Ryuujou
17,Mutsuki,Mutsuki
18,Nagara,Nagara
19,Sendai,Sendai
20,Shiratsuyu,Shiratsuyu
21,Asashio,Asashio
22,Yuubari,Yuubari
23,Shouhou,Shouhou
24,Mogami,Mogami
25,Aoba,Aoba
26,Chitose,Chitose
27,Junsen Type B,Junsen Type B
28,Kaidai VI,Kaidai VI
29,Junsen Type B Kai Ni,Junsen Type B Kai Ni
30,Junsen 3,Junsen 3
31,Yamato,Yamato
32,Yuugumo,Yuugumo
33,Taihou,Taihou
34,Katori,Katori
35,Sentoku (I-400),Sentoku (I-400)
36,Hei,Hei
37,Kamoi,Kamoi
38,Type 3 Submergence Transport Vehicle,Type 3 Submergence Transport Vehicle
39,Bismarck,Bismarck
40,Type IXC U-boat,Type IXC U-boat
41,Graf Zeppelin,Graf Zeppelin
42,Lexington,Lexington
43,Vittorio Veneto,Vittorio Veneto
44,Zara,Zara
45,Commandant Teste,Commandant Teste
46,Richelieu,Richelieu
47,Gangut,Gangut
48,J,J
49,0,0
50,Kasuga Maru,Kasuga Maru
51,Shinyou,Shinyou
52,Marconi,Marconi
53,Taiyou,Taiyou
54,Etorofu,Etorofu
55,Akizuki,Akizuki
56,Essex,Essex
